StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8_1;Q8_2;Q8_3;Q8_4;Q8_5;Q9;Q10_1;Q10_2;Q10_3;Q10_4;Q10_5;Q11_1;Q11_2;Q12_1;Q12_2;Q12_3;Q12_4;Q12_5;Q12_6;Q12_7;Q12_8;Q13_1;Q13_2;Q13_3;Q14;Q15;Q16;Q16_1_TEXT;Q17_1;Q17_2;Q17_3;2.1_1;2.1_2;2.1_3;2.1_4;2.1_5;2.1_6;2.1_7;2.2;2.2 _1_TEXT;2.3;2.4; 
Date de commencement;Date de fin;Type de réponse;Adresse IP;Progrès;Durée (en secondes);Terminé;Date enregistrée;Identifiant de la réponse;Nom du destinataire;Prénom du destinataire;Adresse e-mail du destinataire;Référence externe de données;Latitude de l'emplacement;Longitude de l'emplacement;Canal de distribution;Langue de l'utilisateur;"Section 1: Informations Démographiques

Quel est votre âge ?";Quel est votre genre ?;Quelle est votre nationalité ? (ex: Française);Quel est votre pays de résidence actuel ?;Quel est votre niveau d'éducation ?;"Section 2: Compétences Linguistiques

Parlez-vous plus d'une langue couramment ?";Parlez-vous une langue considérée comme dialecte ?;Quelles langues parlez-vous ? (Notez aussi les dialectes, ex: Dialecte algérien) - Langue 1;Quelles langues parlez-vous ? (Notez aussi les dialectes, ex: Dialecte algérien) - Langue 2;Quelles langues parlez-vous ? (Notez aussi les dialectes, ex: Dialecte algérien) - Langue 3;Quelles langues parlez-vous ? (Notez aussi les dialectes, ex: Dialecte algérien) - Langue 4;Quelles langues parlez-vous ? (Notez aussi les dialectes, ex: Dialecte algérien) - Langue 5;Quelle est votre langue maternelle ?;À quel âge avez-vous commencé à apprendre chacune des langues suivantes ? - Langue 1;À quel âge avez-vous commencé à apprendre chacune des langues suivantes ? - Langue 2;À quel âge avez-vous commencé à apprendre chacune des langues suivantes ? - Langue 3;À quel âge avez-vous commencé à apprendre chacune des langues suivantes ? - Langue 4;À quel âge avez-vous commencé à apprendre chacune des langues suivantes ? - Langue 5;Sélectionnez la/les langue(s) qui correspond(ent): - Quelle langue utilisez-vous principalement pour communiquer avec vos parents ?;Sélectionnez la/les langue(s) qui correspond(ent): - Quelle(s) langue(s) vos parents parlent-ils principalement ?;"Section 3: Usage des Langues dans Différentes Situations

Sélectionnez la langue que vous utilisez le plus dans ces situations: - à la maison";"Section 3: Usage des Langues dans Différentes Situations

Sélectionnez la langue que vous utilisez le plus dans ces situations: - avec vos amis";"Section 3: Usage des Langues dans Différentes Situations

Sélectionnez la langue que vous utilisez le plus dans ces situations: - lors de vos achats ou dans les marchés";"Section 3: Usage des Langues dans Différentes Situations

Sélectionnez la langue que vous utilisez le plus dans ces situations: - les activités administratives (banque, administration publique, etc.)";"Section 3: Usage des Langues dans Différentes Situations

Sélectionnez la langue que vous utilisez le plus dans ces situations: - au travail ou à l'école";"Section 3: Usage des Langues dans Différentes Situations

Sélectionnez la langue que vous utilisez le plus dans ces situations: - écrire des messages textuels (SMS, chats, emails) ?";"Section 3: Usage des Langues dans Différentes Situations

Sélectionnez la langue que vous utilisez le plus dans ces situations: - penser et réfléchir";"Section 3: Usage des Langues dans Différentes Situations

Sélectionnez la langue que vous utilisez le plus dans ces situations: - rêver";"Section 4: Switching Linguistique

À quelle fréquence: - utilisez-vous des mots ou des expressions d'une langue dans une phrase majoritairement dans une autre langue ?";"Section 4: Switching Linguistique

À quelle fréquence: - changez-vous de langue en cours de conversation (code-switching) ?";"Section 4: Switching Linguistique

À quelle fréquence: - vous avez tendance à changer de langue (code-switching) lorsque vous êtes stressé ou sous pression";Dans quelles situations êtes-vous le plus susceptible de changer de langue en cours de conversation (code-switching) ?;Quelles raisons vous poussent le plus à changer de langue en parlant ?;"Section 5: Vocabulaire Spécifique

Utilisez-vous des mots d'emprunt (par exemple, des mots Anglaisdans des phrases françaises) ? - Selected Choice";"Section 5: Vocabulaire Spécifique

Utilisez-vous des mots d'emprunt (par exemple, des mots Anglaisdans des phrases françaises) ? - Oui (donnez un exemple) - Texte";Section 6: Attitudes et Perceptions - Pensez-vous que parler plusieurs langues est un avantage dans votre vie quotidienne ?;Section 6: Attitudes et Perceptions - Rencontrez-vous des difficultés liées à votre multilinguisme ?;Section 6: Attitudes et Perceptions - Y a-t-il des situations où vous vous sentez obligé(e) de parler une langue plutôt qu'une autre ?;Répondez par oui ou non: - Avez-vous déjà ressenti des préjugés ou des stéréotypes en raison de l'utilisation d'un dialecte ?;Répondez par oui ou non: - Pensez-vous que la préservation des dialectes est importante ?;Répondez par oui ou non: - Enseignez-vous ou aimeriez-vous enseigner les dialectes à vos enfants ou à d'autres membres de votre famille ?;Répondez par oui ou non: - Utilisez-vous des dialectes dans les médias sociaux ou d'autres plateformes en ligne ?;Répondez par oui ou non: - Pensez-vous que la technologie (applications de langues, etc.) aide à la préservation et à la promotion des dialectes ?;Répondez par oui ou non: - Avez-vous observé des emprunts linguistiques entre les dialectes que vous parlez et d'autres langues ?;Répondez par oui ou non: - Y a-t-il des médias (films, séries, musique) qui utilisent les dialectes que vous parlez ?;Y a-t-il des mots ou des expressions que vous préférez utiliser dans un dialecte plutôt que dans la langue standard ? - Selected Choice;Y a-t-il des mots ou des expressions que vous préférez utiliser dans un dialecte plutôt que dans la langue standard ? - Oui (Veuillez fournir des exemples) - Texte;Dans quelles mesures vous sentez-vous à l'aise de parler un dialecte lors de situations sociales  ?;Quelle est votre perception de la valeur sociale et culturelle des dialectes que vous parlez ?;Si vous avez des remarques/conseils:
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}";"{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}";"{""ImportId"":""status""}";"{""ImportId"":""ipAddress""}";"{""ImportId"":""progress""}";"{""ImportId"":""duration""}";"{""ImportId"":""finished""}";"{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}";"{""ImportId"":""_recordId""}";"{""ImportId"":""recipientLastName""}";"{""ImportId"":""recipientFirstName""}";"{""ImportId"":""recipientEmail""}";"{""ImportId"":""externalDataReference""}";"{""ImportId"":""locationLatitude""}";"{""ImportId"":""locationLongitude""}";"{""ImportId"":""distributionChannel""}";"{""ImportId"":""userLanguage""}";"{""ImportId"":""QID2""}";"{""ImportId"":""QID3""}";"{""ImportId"":""QID4_TEXT""}";"{""ImportId"":""QID5_TEXT""}";"{""ImportId"":""QID6""}";"{""ImportId"":""QID44""}";"{""ImportId"":""QID38""}";"{""ImportId"":""QID1_1""}";"{""ImportId"":""QID1_2""}";"{""ImportId"":""QID1_3""}";"{""ImportId"":""QID1_4""}";"{""ImportId"":""QID1_5""}";"{""ImportId"":""QID9""}";"{""ImportId"":""QID10_x1""}";"{""ImportId"":""QID10_x2""}";"{""ImportId"":""QID10_x3""}";"{""ImportId"":""QID10_x4""}";"{""ImportId"":""QID10_x5""}";"{""ImportId"":""QID34_1""}";"{""ImportId"":""QID34_5""}";"{""ImportId"":""QID20_1""}";"{""ImportId"":""QID20_2""}";"{""ImportId"":""QID20_3""}";"{""ImportId"":""QID20_4""}";"{""ImportId"":""QID20_5""}";"{""ImportId"":""QID20_6""}";"{""ImportId"":""QID20_7""}";"{""ImportId"":""QID20_9""}";"{""ImportId"":""QID23_1""}";"{""ImportId"":""QID23_2""}";"{""ImportId"":""QID23_12""}";"{""ImportId"":""QID25""}";"{""ImportId"":""QID26""}";"{""ImportId"":""QID27""}";"{""ImportId"":""QID27_1_TEXT""}";"{""ImportId"":""QID30_1""}";"{""ImportId"":""QID30_2""}";"{""ImportId"":""QID30_3""}";"{""ImportId"":""QID40_1""}";"{""ImportId"":""QID40_4""}";"{""ImportId"":""QID40_5""}";"{""ImportId"":""QID40_6""}";"{""ImportId"":""QID40_7""}";"{""ImportId"":""QID40_8""}";"{""ImportId"":""QID40_9""}";"{""ImportId"":""QID41""}";"{""ImportId"":""QID41_1_TEXT""}";"{""ImportId"":""QID39""}";"{""ImportId"":""QID42""}";"{""ImportId"":""QID45_TEXT""}"
2024-11-27 11:14:38;2024-11-27 13:55:36;IP Address;85.12.130.7;100;9658;True;2024-11-27 13:55:37;R_8O1wQ3AwFxd6wE5;;;;;48.8323;2.4075;anonymous;FR;18-25 ans;Femme;Française;France;Université (Licence);Oui;Non;Anglais;Français;Espagnol;Italien;;Langue 2;4ans-18ans;avant 3ans;4ans-18ans;4ans-18ans;;Langue 2;Langue 2;Langue 2;Langue 2;Langue 2;Langue 2;Langue 2;Langue 2;Langue 2;Langue 2;Souvent				;Souvent				;Jamais;Avec des amis,Sur les réseaux sociaux;Pour mieux exprimer une idée,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);slay, relatable, ;oui;non;oui;;;;;;;;;;;;non 
2024-11-27 14:55:21;2024-11-27 15:51:28;IP Address;85.12.130.7;100;3367;True;2024-11-27 15:51:29;R_23krq3csxGsoSQx;;;;;48.8323;2.4075;anonymous;FR;18-25 ans;Femme;Algérienne;France;Université (Licence);Oui;Oui;Français;Arabe;Anglais;Dialecte algérien;Kabyle;Langue 5;avant 3ans;4ans-18ans;4ans-18ans;avant 3ans;avant 3ans;Langue 1,Langue 2,Langue 4,Langue 5;Langue 1,Langue 2,Langue 4,Langue 5;Langue 5;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Très souvent				;Très souvent				;Très souvent				;À la maison,Avec des amis,Sur les réseaux sociaux;Par habitude,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);za3ma, slay, 3lah;oui;non;oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui (Veuillez fournir des exemples);ya3ni, lala, ih, ma3lich;Extrêmement confortable;Excellente;Non
2024-11-27 16:06:15;2024-11-27 16:09:58;IP Address;85.12.130.7;100;223;True;2024-11-27 16:09:59;R_24YSq76uajYYFAR;;;;;48.8323;2.4075;anonymous;FR;18-25 ans;Femme;Française;France;Université (Licence);Oui;Non;Français;Anglais;Bosniaque; ;;Langue 1;avant 3ans;4ans-18ans;4ans-18ans;4ans-18ans;;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 2;Langue 1;Langue 1;Langue 1;Langue 1;Très souvent				;Souvent				;Rarement				;Avec des amis,Sur les réseaux sociaux;Pour mieux exprimer une idée,Par habitude,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);Twink;oui;non;non;;;;;;;;;;;;<33
2024-11-27 16:08:27;2024-11-27 16:12:06;IP Address;85.12.130.7;100;218;True;2024-11-27 16:12:07;R_2QtHQcStVY96sIk;;;;;48.8323;2.4075;anonymous;FR;18-25 ans;Femme;Française;France;Université (Licence);Oui;Non;Français;Anglais;Espagnol;;;Langue 1;avant 3ans;4ans-18ans;4ans-18ans;;;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Souvent				;Parfois				;Souvent				;Avec des amis,Sur les réseaux sociaux;Pour mieux exprimer une idée,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);Delusion;oui;non;oui;;;;;;;;;;;;
2024-11-27 16:02:38;2024-11-27 16:13:50;IP Address;85.12.130.7;100;671;True;2024-11-27 16:13:50;R_8qzPEa5Gzi2Xv1f;;;;;48.8323;2.4075;anonymous;FR;18-25 ans;Femme;Tunisienne;France;Université (Licence);Oui;Oui;Dialecte tunisien;Arabe;Français;Anglais;Espagnol;Langue 1;avant 3ans;avant 3ans;avant 3ans;4ans-18ans;4ans-18ans;Langue 1,Langue 3;Langue 1,Langue 3;Langue 1;Langue 3;Langue 3;Langue 3;Langue 3;Langue 1;Langue 1;Langue 3;Très souvent				;Très souvent				;Très souvent				;À la maison,Avec des amis,Sur les réseaux sociaux;Pour mieux exprimer une idée,Par habitude,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);Ghosting, red flag, men are trash, wesh, wallah, ;oui;non;oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui (Veuillez fournir des exemples);Kaskaslou yarjaa El aslou;Ni confortable, ni inconfortable;Bonne;
2024-11-27 16:31:24;2024-11-27 16:37:28;IP Address;195.235.197.103;100;363;True;2024-11-27 16:37:29;R_2fadzPypiYLoLQi;;;;;40.4522;-3.6645;anonymous;FR;18-25 ans;Femme;Française;Espagne ;Université (Licence);Oui;Oui;Français;Anglais;Arabe;Espagnol;Dialecte algérien;Langue 1;avant 3ans;4ans-18ans;avant 3ans;4ans-18ans;18ans-25ans;Langue 1,Langue 3,Langue 5;Langue 1,Langue 3,Langue 5;Langue 1;Langue 1;Langue 3;Langue 1;Langue 2;Langue 1;Langue 1;Langue 1;Souvent				;Souvent				;Très souvent				;Au travail ou à l'école,Avec des amis,Lors des activités administratives,Lors des achats ou au marché;Pour mieux exprimer une idée,Pour être compris,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);Relief, used to, highlight;oui;non;oui;Oui;Oui;Oui;Non;Non;Oui;Non;Non;;Ni confortable, ni inconfortable;Moyenne;
2024-11-27 16:47:48;2024-11-27 16:53:10;IP Address;105.99.118.138;100;322;True;2024-11-27 16:53:11;R_8dAV3SX3ovGDMlf;;;;;36.7377;3.0839;anonymous;FR;Moins de 18 ans;Femme;Algérienne;Algérie;Lycée;Oui;Oui;Dialecte algérien;Dialecte tunisien;;;;Langue 1;avant 3ans;4ans-18ans;;;;Langue 1;Langue 1;Langue 2;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Langue 1;Très souvent				;Très souvent				;Rarement				;À la maison,Avec des amis;Pour mieux exprimer une idée,Par habitude,Pour montrer une certaine identité culturelle,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);Est-ce que t7abini ?;oui;non;oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui (Veuillez fournir des exemples);Takbar ou tansa;Plutôt confortable;Excellente;
2024-11-27 16:52:02;2024-11-27 16:54:18;IP Address;92.92.129.24;100;135;True;2024-11-27 16:54:19;R_20kFM21senDMfhR;;;;;48.9043;2.4877;anonymous;FR;18-25 ans;Femme;Française;France;Université (Licence);Oui;Non;Français;Russe;Anglais;Italien;;;avant 3ans;avant 3ans;avant 3ans;avant 3ans;;Langue 2,Langue 3;Langue 1,Langue 2;;Langue 1;Langue 1;Langue 1;Langue 1;Langue 3;Langue 3;Langue 4;Très souvent				;Très souvent				;Très souvent				;À la maison;Pour mieux exprimer une idée,Par habitude,Parce que certains mots ou expressions sont plus faciles dans une autre langue;Oui (donnez un exemple);;oui;oui;oui;;;;;;;;;;;;
